S.No,Post,Caste,Count
977,all,जैरु,2
978,all,पार्थे,1
979,all,परी,1
980,all,राना,246
981,all,नेवार,5
982,all,गुरुङ(घले),2
983,all,भडेल,2
984,all,आठ्परिया,1
985,all,‌(भट्ट),1
986,all,वरदेवा,2
987,all,(नाछिरीङ),2
988,all,ढङ्गाना,1
989,all,बिबी,1
990,all,अंगाई,2
991,all,(काफ्ले),1
992,all,सितोली,2
993,all,ढुंगाना,20
994,all,न्यौपाने‍,1
995,all,लोनीया,2
996,all,बम्म,2
997,all,(विसुंके),1
998,all,(जैसी),1
999,all,रणपाल,1
1000,all,घिले,1
1001,all,शाही,363
1002,all,टूडु,1
1003,all,"ल्वार,मिजार",1
1004,all,(रिजाल),1
1005,all,(सुडी),2
1006,all,लौहार्नी,1
1007,all,कुताल,1
1008,all,थलङ,1
1009,all,डगौरा,34
1010,all,सिँह,3
1011,all,मल्‍‍लाह,1
1012,all,नुनीयाईन,1
1013,all,काउचा,1
1014,all,वी.सी,1
1015,all,वि.सी.,10
1016,all,गोढी,2
1017,all,बढई,4
1018,all,(भुज),1
1019,all,बमनु,1
1020,all,जवेगु,4
1021,all,(ढकाल),3
1022,all,वि.क.(गहतराज),1
1023,all,लिङ्देन,1
1024,all,राजबंशी,4
1025,all,कार्की,327
1026,all,सुनार,494
1027,all,न्‍यौपाने,12
1028,all,सोनाम,1
1029,all,बटाला,9
1030,all,भियाल,4
1031,all,बडाल,4
1032,all,धानुक),1
1033,all,दुसाद,7
1034,all,समीउल्लाह,1
1035,all,थोकर,9
1036,all,देवि,17
1037,all,कट्टेल,6
1038,all,बबाल,1
1039,all,कोहार,10
1040,all,सदुला,1
1041,all,चपाइ,1
1042,all,"शर्मा,काफ्ले",1
1043,all,गुरुड्ग,1
1044,all,काँदु,2
1045,all,काँदू,1
1046,all,खड्गी,5
1047,all,जोती,1
1048,all,नाउ,3
1049,all,सुचिकार,2
1050,all,बरुवाल,5
1051,all,विजुक्छे,1
1052,all,लिम्‍बु,3
1053,all,पैठानीन,1
1054,all,बानियाँ,5
1055,all,राजभण्डारी,6
1056,all,गुरुङ(लोवा),5
1057,all,शाही),1
1058,all,नाल्बो(लिम्बु),1
1059,all,पठानिन,2
1060,all,राइनी,1
1061,all,गडेरी,4
1062,all,मन्सुरी,1
1063,all,भाड,2
1064,all,घटाला,1
1065,all,क्ष्रेष्‍ठ,1
1066,all,सिकर्मी,1
1067,all,पंजियार,2
1068,all,रोकाया,142
1069,all,पन्‍त,3
1070,all,पिठाकोटे,1
1071,all,योङ्हाङ्,1
