S.No,LocalBodyName,WardNo,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
204,ईनरुवा नगरपालिका,6,वडा अध्यक्ष,सुनसरी,1,कोषराज अधिकारी,1373,1422
205,मोलुङ गाउँपालिका,6,वडा अध्यक्ष,ओखलढुंगा,1,राम काजी तामाङ,393,486
206,भिमाद नगरपालिका,2,वडा अध्यक्ष,तनहुँ,4,भवानी शंकर लम्साल,922,1124
207,माईजोगमाई गाउँपालिका,5,वडा अध्यक्ष,इलाम,1,दाता राम संजेल,918,1468
208,विजयनगर गाउँपालिका,3,वडा अध्यक्ष,कपिलवस्तु,5,बुद्वी राम अर्याल,261,423
209,सिदिङ्वा गाउँपालिका,2,वडा अध्यक्ष,ताप्लेजुंग,1,कृष्ण बहादुर पौडेल,198,315
210,दिपायल सिलगढी नगरपालिका,6,वडा अध्यक्ष,डोटी,7,सन्तोष वोहरा,437,532
211,क्व्होलासोथार गाउँपालिका,3,वडा अध्यक्ष,लमजुंग,4,खर्काजङ गुरुङ,132,545
212,ठूली भेरी नगरपालिका,7,वडा अध्यक्ष,डोल्पा,6,डिल विक्रम शाही,124,152
213,अर्जुन चौपारी गाउँपालिका,4,वडा अध्यक्ष,स्याङ्जा,4,जित कुमारी चपाई,379,475
214,छत्रकोट गाउँपालिका,4,वडा अध्यक्ष,गुल्मी,5,डिलाराम न्यौपाने,1075,1237
215,विगु गाउँपालिका,6,वडा अध्यक्ष,दोलखा,3,पदम थामी,338,496
216,बीरेन्द्रनगर नगरपालिका,15,वडा अध्यक्ष,सुर्खेत,6,पुन बहादुर पुलामी,391,399
217,शिवालय गाउँपालिका,7,वडा अध्यक्ष,जाजरकोट,6,विरवल खत्री,240,394
218,वालिङ नगरपालिका,13,वडा अध्यक्ष,स्याङ्जा,4,आनन्द प्रसाद पाठक,807,890
219,दमक नगरपालिका,6,वडा अध्यक्ष,झापा,1,टेक बहादुर थापा,758,944
220,मादी गाउँपालिका,6,वडा अध्यक्ष,कास्की,4,पस वहादुर बाँस्तोला,254,417
221,चन्दननाथ नगरपालिका,6,वडा अध्यक्ष,जुम्ला,6,अज बहादुर रावल,7,233
222,चैनपुर नगरपालिका,4,वडा अध्यक्ष,संखुवासभा,1,धन बहादुर तामाङ,493,702
223,मर्स्याङदी गाउँपालिका,2,वडा अध्यक्ष,लमजुंग,4,चेत वहादुर गुरुङ,0,488
224,आमचोक गाउँपालिका,4,वडा अध्यक्ष,भोजपुर,1,नेत्र बहादुर खत्री,337,355
225,अमरगढी नगरपालिका,11,वडा अध्यक्ष,डडेलधुरा,7,सूर्य प्रकाश खड्का,260,363
226,धरान उपमहानगरपालिका,7,वडा अध्यक्ष,सुनसरी,1,भुपेन्द्र राज मोक्तान,533,636
227,विरुवा गाउँपालिका,4,वडा अध्यक्ष,स्याङ्जा,4,थमन राज गुरुङ,487,1114
228,धनकुटा नगरपालिका,4,वडा अध्यक्ष,धनकुटा,1,जम्सेर राई,394,506
229,रुरु गाउँपालिका,6,वडा अध्यक्ष,गुल्मी,5,पुर्ण बहादुर रेगामी,629,638
